Nombre,Tipo,Calorías,Precio (MXN),Vegetariano
Tacos al pastor,Mexicana,280,35,No
Enchiladas verdes,Mexicana,350,45,No
Sopa de tortilla,Mexicana,180,30,Sí
Chiles en nogada,Mexicana,400,80,No
Pozole,Mexicana,370,50,No
Tamales,Mexicana,250,20,Sí
Quesadillas,Mexicana,300,25,Sí
Mole poblano,Mexicana,420,70,No
Ceviche,Mariscos,200,55,No
Camarones al ajillo,Mariscos,320,60,No
Filete de pescado empanizado,Mariscos,350,65,No
Paella,Española,500,90,No
Gazpacho,Española,120,25,Sí
Tortilla española,Española,300,40,Sí
Croquetas de jamón,Española,260,45,No
Pizza margarita,Italiana,280,50,Sí
Lasagna,Italiana,450,75,No
Spaghetti carbonara,Italiana,430,65,No
Risotto de champiñones,Italiana,370,70,Sí
Caprese,Italiana,220,40,Sí
Sushi roll,Japonesa,250,60,No
Ramen,Japonesa,400,70,No
Yakimeshi,Japonesa,360,55,Sí
Tofu teriyaki,Japonesa,280,50,Sí
Tempura,Japonesa,320,60,No
Hamburguesa clásica,Americana,600,75,No
Hot dog,Americana,450,40,No
Mac & Cheese,Americana,480,50,Sí
Ensalada César,Internacional,220,35,Sí
Falafel,Árabe,300,40,Sí
